Age,Gender,Study_Hours,Class_Attendance,Tuition,Exam_Frequency,Assignment_Load,Sleep_Hours,Physical_Exercise,Social_Media_Use,Screen_Time,Family_Income_Level,Peer_Pressure,Family_Support,Anxiety_Level,University_Type,Stress_Score,Stress_Level
24,Male,9,71,No,7,4,6,Yes,6,9,Low,6,3,5,National University,20,Medium
24,Female,8,43,Yes,6,8,5,Yes,6,8,Medium,3,7,8,National University,22,High
21,Female,4,56,Yes,3,6,5,Yes,7,9,Low,2,5,3,Private University,16,Medium
23,Female,4,46,No,8,6,8,No,5,6,Medium,8,6,5,Private University,16,Medium
20,Male,8,46,No,5,1,6,Yes,0,7,Medium,5,6,2,National University,1,Low
19,Male,2,95,No,5,2,7,No,3,6,Low,2,6,1,National University,4,Low
22,Female,0,85,Yes,9,5,9,Yes,0,4,Low,5,9,9,Public University,7,Low
20,Female,6,52,Yes,6,1,8,Yes,2,1,Low,2,1,1,National University,0,Low
23,Female,8,74,No,8,5,5,No,7,3,Low,5,8,4,National University,14,Medium
24,Male,4,46,Yes,1,8,9,No,6,11,Medium,5,6,5,Private University,16,Medium
22,Female,2,50,No,8,3,4,No,4,2,High,6,4,7,Private University,16,Medium
22,Female,4,89,No,6,9,9,Yes,6,1,Medium,6,9,6,Private University,8,Low
24,Male,4,49,Yes,4,9,7,No,4,6,High,7,1,8,National University,23,High
22,Male,7,88,Yes,6,3,6,No,0,2,Low,6,5,2,Private University,2,Low
24,Male,0,48,Yes,7,2,5,No,6,11,High,7,3,4,Private University,22,High
23,Male,7,68,No,9,3,6,Yes,4,1,Low,5,1,4,Public University,12,Medium
23,Male,7,48,Yes,2,6,8,No,2,4,Low,2,3,2,Public University,5,Low
23,Male,6,95,Yes,9,4,4,No,6,1,Low,1,7,2,National University,11,Medium
22,Female,2,64,Yes,1,5,6,No,3,1,Medium,4,2,1,National University,3,Low
20,Female,7,61,Yes,6,3,6,No,3,6,High,9,4,2,Public University,10,Low
22,Male,6,48,Yes,9,9,6,No,7,7,Medium,5,6,1,Private University,21,High
23,Female,9,77,Yes,6,4,5,Yes,0,3,Low,2,4,8,National University,10,Low
24,Female,0,64,No,2,1,5,No,4,5,Medium,3,3,5,Private University,9,Low
23,Male,6,83,Yes,2,4,4,No,1,9,Low,2,7,4,Private University,9,Low
22,Female,7,84,No,7,7,6,No,3,9,Low,1,7,3,National University,16,Medium
23,Male,5,79,Yes,7,7,5,Yes,4,10,Medium,8,9,5,Private University,17,Medium
24,Male,4,90,Yes,9,9,5,Yes,3,4,High,2,5,8,Public University,21,High
20,Female,2,92,Yes,7,9,6,Yes,0,6,Low,4,1,6,Public University,19,Medium
22,Female,3,75,No,9,8,5,Yes,6,2,High,7,4,5,Private University,19,Medium
23,Female,3,62,Yes,5,6,5,Yes,3,10,Low,5,5,4,Private University,16,Medium
19,Female,1,90,Yes,3,8,9,No,0,9,Medium,3,3,7,National University,15,Medium
20,Female,7,68,No,7,4,7,Yes,6,7,High,6,3,3,National University,15,Medium
24,Female,5,56,No,2,5,8,No,1,5,Medium,8,4,1,Public University,2,Low
23,Male,5,75,Yes,2,8,4,Yes,6,3,Medium,2,4,4,Private University,13,Medium
20,Female,2,97,No,5,5,8,Yes,6,10,Medium,9,9,5,Public University,12,Medium
24,Female,1,40,Yes,6,9,6,Yes,7,8,Low,8,2,2,National University,22,High
23,Male,7,78,No,1,9,6,No,1,8,Low,4,6,1,National University,8,Low
19,Male,9,59,No,8,3,5,Yes,5,5,Medium,9,9,9,Private University,14,Medium
21,Male,1,97,Yes,7,2,8,No,6,11,High,5,5,2,Private University,15,Medium
